# tracer: nop
#
# entries-in-buffer/entries-written: 30743/14866026   #P:28
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
   systemd-udevd-365   [019] ....    13.863817: tcp_packet: Some ptrs: init net ffffffff82319c80(2319), vmemmap ffffea0000000000 (0)
        modprobe-5118  [020] ....   612.764797: mlx5e_init: Some ptrs: init net ffffffff82319c80(2319), vmemmap ffffea0000000000 (0)
##### CPU 16 buffer started ####
          <idle>-0     [016] ..s.   614.108965: mlx5e_sq_xmit: TX [NaN]:ffff8890267776c0[ffffea004099ddc0]
          <idle>-0     [016] ..s.   615.104959: mlx5e_sq_xmit: TX [NaN]:ffff8890267776c0[ffffea004099ddc0]
    kworker/16:1-177   [016] ....   615.793903: mlx5e_sq_xmit: TX [NaN]:ffff889020cc76c0[ffffea00408331c0]
    kworker/16:1-177   [016] ....   617.771407: mlx5e_sq_xmit: TX [NaN]:ffff8890267776c0[ffffea004099ddc0]
    kworker/16:1-177   [016] ....   617.771430: mlx5e_sq_xmit: TX [NaN]:ffff888facc66ec0[ffffea003eb31980]
          <idle>-0     [016] ..s.   618.144906: mlx5e_sq_xmit: TX [NaN]:ffff8890267776c0[ffffea004099ddc0]
##### CPU 12 buffer started ####
          <idle>-0     [012] ..s.   618.344946: mlx5e_sq_xmit: TX [NaN]:ffff888fa57976c0[ffffea003e95e5c0]
    kworker/12:1-173   [012] ....   618.552947: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a13cc0[ffffea003e9684c0]
          <idle>-0     [012] ..s.   619.168941: mlx5e_sq_xmit: TX [NaN]:ffff888fa57976c0[ffffea003e95e5c0]
##### CPU 6 buffer started ####
          <idle>-0     [006] ..s.   619.532929: mlx5e_sq_xmit: TX [NaN]:ffff889039b0aec0[ffffea0040e6c280]
          <idle>-0     [006] ..s.   619.532937: mlx5e_sq_xmit: TX [NaN]:ffff889039b0b6c0[ffffea0040e6c2c0]
    kworker/12:1-173   [012] ....   619.584961: mlx5e_sq_xmit: TX [NaN]:ffff888fa5796ec0[ffffea003e95e580]
    kworker/12:1-173   [012] ....   619.584971: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a106c0[ffffea003e968400]
          <idle>-0     [006] ..s.   619.936927: mlx5e_sq_xmit: TX [NaN]:ffff889039b0b6c0[ffffea0040e6c2c0]
     kworker/6:0-5811  [006] ....   620.192951: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0d2c0[ffffea003e968340]
          <idle>-0     [012] ..s.   620.384927: mlx5e_sq_xmit: TX [NaN]:ffff88903b39f6c0[ffffea0040ece7c0]
          <idle>-0     [006] ..s.   620.384927: mlx5e_sq_xmit: TX [NaN]:ffff889039b0b6c0[ffffea0040e6c2c0]
     kworker/6:0-5811  [006] ....   620.448947: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0d2c0[ffffea003e968340]
     kworker/6:0-5811  [006] ....   621.216964: mlx5e_sq_xmit: TX [NaN]:ffff889039b0aec0[ffffea0040e6c280]
     kworker/6:0-5811  [006] ....   621.216981: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0e2c0[ffffea003e968380]
     kworker/6:0-5811  [006] ....   621.472969: mlx5e_sq_xmit: TX [NaN]:ffff889039b0aec0[ffffea0040e6c280]
     kworker/6:0-5811  [006] ....   621.472988: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0e6c0[ffffea003e968380]
          <idle>-0     [006] ..s.   621.760925: mlx5e_sq_xmit: TX [NaN]:ffff889039b0aec0[ffffea0040e6c280]
          <idle>-0     [016] ..s.   622.016920: mlx5e_sq_xmit: TX [NaN]:ffff888fa523f0c0[ffffea003e948fc0]
          <idle>-0     [006] ..s.   622.272922: mlx5e_sq_xmit: TX [NaN]:ffff889039b0aec0[ffffea0040e6c280]
          <idle>-0     [012] ..s.   623.808925: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a138c0[ffffea003e9684c0]
          <idle>-0     [006] ..s.   625.344908: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0cec0[ffffea003e968300]
          <idle>-0     [006] ..s.   625.600914: mlx5e_sq_xmit: TX [NaN]:ffff888fa5a0cec0[ffffea003e968300]
##### CPU 1 buffer started ####
          <idle>-0     [001] ..s.   629.054003: mlx5e_skb_from_cqe_linear: 916dd25527) data ffff889faa149000 shinfo ffff889faa149080[ffffea007ea85240]
          <idle>-0     [001] ..s.   629.568898: mlx5e_sq_xmit: TX [NaN]:ffff889fe7da2ec0[ffffea007f9f6880]
##### CPU 3 buffer started ####
          <idle>-0     [003] ..s.   629.568969: mlx5e_skb_from_cqe_linear: 918c8422de) data ffff889faa1f5000 shinfo ffff889faa1f50c0[ffffea007ea87d40]
          <idle>-0     [003] ..s.   629.569007: mlx5e_sq_xmit: TX [NaN]:ffff88a02f74d0c0[ffffea0080bdd340]
          <idle>-0     [001] ..s.   629.569090: mlx5e_skb_from_cqe_linear: 918c85fcf5) data ffff88a00b79c000 shinfo ffff88a00b79c080[ffffea00802de700]
          <idle>-0     [001] ..s.   629.569099: mlx5e_sq_xmit: TX [VERBOSE]:ffff889faa1f50c0[ffffea007ea87d40]
